i,urlpath,Username,Country,State,City,img_url,review_count
34,/USA/Arizona/Phoenix/MadisonBoo,MadisonBoo,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:ea46492f-c13d-48b1-b418-5409306bdd85/Madison-97%20tu.jpg,23
35,/USA/Arizona/Phoenix/CassieCorrea,CassieCorrea,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:23e769e5-7099-4970-b0f1-7ca3ad39b736/IMG_4049%20(1).jpg,29
36,/USA/Arizona/Phoenix/Chrissybabyxo,Chrissybabyxo,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:8ddaaaf9-6b15-4300-842a-3c4a4c7c4cbf/0C0E7B87-B8D7-42B3-939D-336E8FBC6CC4.jpeg,7
37,/USA/Arizona/Phoenix/RayneDollas,RayneDollas,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:3432f6fc-110f-4d32-9278-7546afd888bd/5190C9B8-83D7-4CB8-A064-3D1E59F8002D.jpeg,0
38,/USA/Arizona/Phoenix/ninababy98,ninababy98,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:65a3d829-6188-4d1d-8623-74837e690a99/3F446A5B-F81B-4268-BF9F-DAA4A7C0AFE1.jpeg,1
39,/USA/Arizona/Phoenix/AnaNymity,AnaNymity,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:749b4589-138d-4444-8b58-b75facc63432/1AD71C57-48AF-4117-B55A-4FA59F460F24.jpeg,1
40,/USA/Arizona/Phoenix/Blondiebaby4u,Blondiebaby4u,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:66c100e0-4e24-491f-9a79-c5605649eea7/CB984DE5-01B3-4166-A339-021C99752C00.jpeg,1
41,/USA/Arizona/Phoenix/Mariah_Couture,Mariah_Couture,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:52e54126-d634-4c1b-97c1-c53bca0094bd/292BB758-C73E-41B3-83FD-3C43B4872D57.jpeg,5
42,/USA/Arizona/Phoenix/AnnasTouch,AnnasTouch,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:a8eff519-c088-4464-b988-cf4fc528fc4c/AnnaTBoobssmall.jpg,3
43,/USA/Arizona/Phoenix/Ginawest,Ginawest,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:0e9fa67e-5002-44c9-ae61-015c2824f0ee/155F06AF-4F0C-4AA6-B951-0E21271D910D.jpeg,9
44,/USA/Arizona/Phoenix/raeuncensored,raeuncensored,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:4cbafce7-f304-48de-aa7a-447c4f60a403/14761D28-1F46-4039-9EA8-437348E9400E.jpeg,5
45,/USA/Arizona/Phoenix/DeziDevine,DeziDevine,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:d765fc45-8895-42cc-bda7-b075a19975dd/575454D2-85FD-4185-8C08-A08C9CC703B1.jpeg,0
46,/USA/Arizona/Phoenix/ZoeyTaylor,ZoeyTaylor,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:159f1c19-e425-4745-ae23-2af33ffac4d4/TaylorZoey8.jpg,3
47,/USA/Arizona/Phoenix/brittanywest,brittanywest,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:2d58ec18-9521-42a0-9c5a-8669197f39fe/20200913085814_IMG_3824.JPG,36
48,/USA/Arizona/Phoenix/Serenaxmarie,Serenaxmarie,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:2429dd7e-ac8f-4e70-af46-be315320e167/B0BA4536-490D-4634-8356-AA9D3B76035B.jpeg,1
49,/USA/Arizona/Phoenix/AnaMoon,AnaMoon,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:39fca269-fcb6-41b1-9666-289bd6884d90/3A42E8CD-F81D-4EFF-B7FE-5C8DFEBC553E.jpeg,9
50,/USA/Arizona/Phoenix/Phoenix8666,Phoenix8666,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:8446e57d-2169-4d30-afd6-14e52b0a9829/8473635A-3E56-4550-965E-F807EBA0C5D9.jpeg,2
51,/USA/Arizona/Phoenix/Victoriaa_M,Victoriaa_M,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:dfea6092-9f9b-4684-b49e-d6d161bf1d9c/20200806_213339.jpg,2
52,/USA/Arizona/Phoenix/RileyCole,RileyCole,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:b4e2e8fe-654b-42dc-a178-8d61cb725bf5/DSC_4223%20(1).jpg,5
53,/USA/Arizona/Phoenix/Enchantingdelila,Enchantingdelila,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:75e514c1-bda2-486a-af83-8d1a1d53e2b7/pizap.com16016759499211.jpg,1
54,/USA/Arizona/Phoenix/missclaudia143,missclaudia143,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:a11d4070-b1b7-47ab-ad17-a9e4b1741819/IMG_0076.JPG,3
55,/USA/Arizona/Phoenix/AzAdrianaBlonde,AzAdrianaBlonde,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:280461fe-04e3-440b-b5a3-7b13904bddcf/IMG_8537.JPG,66
56,/USA/Arizona/Phoenix/dateswithlexi,dateswithlexi,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:2da6e11e-86e8-4d5f-b3a9-460a5ddae05f/7727%20rear%20mouth%20blurred.jpg,0
57,/USA/Arizona/Phoenix/KateCannes,KateCannes,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:504c4a79-e716-42b3-bb33-a0e921ca9f38/IMG_2605.jpg,33
58,/USA/Arizona/Phoenix/nikkisworld,nikkisworld,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:b9825e29-dfca-49d1-ae44-3ff90c39e472/DB3733A5-6783-4D8D-9FEB-B42794E00D3B.jpeg,16
59,/USA/Arizona/Phoenix/Amieebaby,Amieebaby,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:fb702270-a4ec-45f5-9cdb-b17bf948ad6d/B94AE592-FE79-4B75-9CD6-CCD8B5974619.jpeg,1
60,/USA/Arizona/Phoenix/MissBrittany,MissBrittany,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:4cb37473-7dd6-4407-8e78-227772ce827c/892D13D6-64D7-472C-B6FE-C78BC4110B03.jpeg,0
61,/USA/Arizona/Phoenix/MeowMeow,MeowMeow,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:fb793291-c590-40cc-9f7d-9c59a828e023/20201008_233120~2.jpg,22
62,/USA/Arizona/Phoenix/AliyahBanxxx,AliyahBanxxx,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:c3c0a9e0-b306-4629-956e-1ecf9094a2f3/6BF6E30F-AFD7-4D60-B97E-D0CD71CCA1BF.jpeg,3
63,/USA/Arizona/Phoenix/Bentleyv1,Bentleyv1,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:2479018f-6f03-4296-9d1f-1f85499459dd/D858182B-4B2A-43EF-91BB-92FD5E614CFD.jpeg,2
64,/USA/Arizona/Phoenix/DesiraeDesires,DesiraeDesires,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:ab91f8e0-cd51-4a87-a2ab-a891654eadaa/11E93869-3842-425E-949E-EC57D7311595.jpeg,239
65,/USA/Arizona/Phoenix/MistySteere,MistySteere,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:c41f070d-198e-4c0c-8fb1-510588c2c057/Photo%20May%2028%2C%203%2019%2023%20PM.jpg,0
66,/USA/Arizona/Phoenix/Sexymel69,Sexymel69,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:0dd4ac3f-d72c-493d-a1d4-247828f78480/02C77FB7-9F1B-4CD8-ABDD-3BA540204AB8.jpeg,29
67,/USA/Arizona/Phoenix/PaigePleases,PaigePleases,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:23760f1b-2f90-4547-8dae-7cb85344c949/HiRes1.jpg,0
68,/USA/Arizona/Phoenix/Milamartell,Milamartell,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:8b48282b-b715-40dc-bc1e-77c7a79e2852/F62704B9-33A9-469B-83ED-3A87C5D601F3.jpeg,7
69,/USA/Arizona/Phoenix/ValerieDeviine,ValerieDeviine,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:747c7fba-4452-4baf-9140-e807ecf90936/195A21F7-E26C-45FD-B15B-8ACCB656095A.jpeg,14
70,/USA/Arizona/Phoenix/Yazimami23,Yazimami23,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:40151d1c-2de4-4c6b-974e-17da09b27bd1/CF9EBBC2-1D10-4588-A391-EB2FC6F8539B.jpeg,2
71,/USA/Arizona/Phoenix/Foreignangelica,Foreignangelica,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:baccf68e-0630-4b82-889b-9ad13a0f487c/D6FF313A-FBF6-47E0-8384-2F3D4101E10A.jpeg,11
72,/USA/Arizona/Phoenix/sambrz1024,sambrz1024,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:e219d36b-6b8a-40f6-a320-6e0fa07932b5/IMG_20200804_114520801.jpg,1
73,/USA/Arizona/Phoenix/JasmineWaters,JasmineWaters,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:de815985-0fbf-4d6d-844a-9f8491b9ddaa/AA642E10-3A17-4ED5-AAE5-CAE1C32BC7DF.jpeg,13
74,/USA/Arizona/Phoenix/RachelMiller,RachelMiller,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:0f47343d-a1a2-4234-aae9-b079118e4c1c/IseeSexy_RM_June2020_BLURRED_WEB_5.JPG,23
75,/USA/Arizona/Phoenix/misskennedynicole,misskennedynicole,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:1a558572-0c92-47e5-9c38-99eacf52a124/ISEESEXY_KN_Jan20_WEB_8.JPG,8
76,/USA/Arizona/Phoenix/CherryRed21,CherryRed21,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:0aac99df-5592-44c7-a6fb-133ebc9e6991/D860AA31-F68F-4C1B-A9E0-5E27DDF5540C.jpeg,1
77,/USA/Arizona/Phoenix/NikkiRae,NikkiRae,USA,Arizona,Phoenix,https://dmacnjnna4ptc.cloudfront.net/small/albums/eu-west-1:9d60e571-9043-491c-a209-a8c2a7d96d7b/fullsizeoutput_1a6.jpeg,36
